    TIME_START     ,    TIME_END    ,    IMAGES     
,,DJI_0048.JPG
,,DJI_0055.JPG
,,DJI_0056.JPG
,,DJI_0057.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0095.JPG
,,DJI_0096.JPG
,,DJI_0105.JPG
,,DJI_0106.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0148.JPG
,,DJI_0149.JPG
,,DJI_0159.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0200.JPG
,,DJI_0201.JPG
00:00:02:200,00:00:02:300
,,DJI_0012.JPG
,,DJI_0013.JPG
,,DJI_0045.JPG
,,DJI_0046.JPG
,,DJI_0047.JPG
,,DJI_0055.JPG
,,DJI_0056.JPG
,,DJI_0057.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0095.JPG
,,DJI_0096.JPG
,,DJI_0105.JPG
,,DJI_0106.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0148.JPG
,,DJI_0159.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0200.JPG
,,DJI_0201.JPG
00:00:02:300,00:00:02:400
,,DJI_0012.JPG
,,DJI_0013.JPG
,,DJI_0045.JPG
,,DJI_0046.JPG
,,DJI_0047.JPG
,,DJI_0056.JPG
,,DJI_0057.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0095.JPG
,,DJI_0096.JPG
,,DJI_0106.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0148.JPG
,,DJI_0159.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0200.JPG
,,DJI_0201.JPG
00:00:02:400,00:00:02:500
,,DJI_0012.JPG
,,DJI_0013.JPG
,,DJI_0045.JPG
,,DJI_0046.JPG
,,DJI_0047.JPG
,,DJI_0056.JPG
,,DJI_0057.JPG
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0095.JPG
,,DJI_0106.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0148.JPG
,,DJI_0159.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0201.JPG
00:00:02:500,00:00:02:600
,,DJI_0013.JPG
,,DJI_0045.JPG
,,DJI_0046.JPG
,,DJI_0047.JPG
,,DJI_0056.JPG
,,DJI_0057.JPG
,,DJI_0058.JPG
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0095.JPG
,,DJI_0106.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0148.JPG
,,DJI_0159.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0201.JPG
00:00:02:600,00:00:02:700
,,DJI_0013.JPG
,,DJI_0045.JPG
,,DJI_0046.JPG
,,DJI_0056.JPG
,,DJI_0057.JPG
,,DJI_0058.JPG
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0095.JPG
,,DJI_0106.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
